EDAR;Date;cases;N1 gc/l;HAdV gc/l;flow 24h;N1 total;HAdV total;N1/HAdV;N1 total log;cases log;HAdV log
DSFL;2020-07-20;183;2,71E+02;1,10E+03;5,30E+04;1,44E+10;5,85E+10;0,25;10,15755662;2,26245109;10,76690325
DSFL;2020-07-13;53;3,24E+03;1,66E+04;5,30E+04;1,72E+11;8,79E+11;0,20;11,23489567;1,72427587;11,94393807
DSFL;2020-07-06;39;4,57E+02;2,56E+04;5,66E+04;2,59E+10;1,45E+12;0,02;10,41262005;1,591064607;12,16074225
DTRS;2020-10-26;1304;2,06E+04;5,48E+04;4,00E+04;8,25E+11;2,19E+12;0,38;11,91622795;3,115277591;12,34133778
DTRS;2020-10-19;806;2,16E+04;4,80E+04;4,04E+04;8,74E+11;1,94E+12;0,45;11,94168139;2,906335042;12,28755078
DTRS;2020-10-12;755;5,12E+04;1,17E+04;3,91E+04;2,00E+12;4,59E+11;4,37;12,30156867;2,877946952;11,66134888
DTRS;2020-10-05;624;1,72E+04;2,63E+04;4,19E+04;7,21E+11;1,10E+12;0,65;11,85779459;2,79518459;12,04249506
DTRS;2020-09-28;426;4,64E+03;;3,97E+04;1,84E+11;0,00E+00;;11,26513993;2,629409599;#NUM!
DTRS;2020-09-21;393;2,71E+04;1,50E+04;4,03E+04;1,09E+12;6,06E+11;1,80;12,03744293;2,59439255;11,78234167
DTRS;2020-09-14;330;1,21E+04;1,39E+05;3,97E+04;4,78E+11;5,51E+12;0,09;11,67967756;2,51851394;12,74154528
DTRS;2020-09-07;333;4,57E+04;9,27E+03;4,74E+04;2,17E+12;4,39E+11;4,93;12,3356641;2,522444234;11,64294955
DTRS;2020-08-31;234;5,17E+04;1,17E+03;3,83E+04;1,98E+12;4,48E+10;44,21;12,29658454;2,369215857;10,65110423
DTRS;2020-08-24;238;7,96E+04;3,77E+04;3,57E+04;2,84E+12;1,35E+12;2,11;12,45361941;2,376576957;12,12914401
DTRS;2020-08-17;288;8,28E+04;;3,67E+04;3,04E+12;;;12,48331484;2,459392488;#NUM!
DTRS;2020-08-10;332;2,46E+04;2,04E+03;3,43E+04;8,43E+11;6,99E+10;12,06;11,92571205;2,521138084;10,84452066
DTRS;2020-08-03;243;1,47E+05;4,14E+05;3,89E+04;5,71E+12;1,61E+13;0,35;12,75641722;2,385606274;13,20745259
