EDAR provincia;EDAR;Data mostreig;Mitjana darrers 7 dies (promig);Nº casos darrers 7 dies (acum);Nº casos darrers 14 dies (acum);Nº casos darrers 7 dies i següents 7 dies;Nº casos dia -7;Nº casos dia -6;Nº casos dia -5;Nº casos dia -4;Nº casos dia -3;Nº casos dia -2;Nº casos dia -1;Nº casos dia 0;Nº casos dia 1;Nº casos dia 2;Nº casos dia 3;Nº casos dia 4;Nº casos dia 5;Nº casos dia 6;Nº casos dia 7;Nº habitants municipis assistits EDAR;ID mostra;Laboratori;Mètode concentració;Data Concentració;Control intern proces/Concentració;Concentració de l'estoc/Concentracio;Volum afegit/Concentració;Data anàlisi molecular;Volum mostra processat;Volum control intern;Volum concentrat;Factor concentració;Volum de concentrat per extracció;Volum extracte RNA;Volum RNA per RT-qPCR;Volum equivalent analitzat;Observacions mostra;Control interno;CI Limit of detection (LDt);CI Limit of detection (LDe);CI Limit of detection (LQe);CI Ct (1)/rep#1;CI Ct (1)/rep#2;CI Ct (1/10)/rep#1;CI Ct (1/10)/rep#2;CI Concentracio final;CI Categoria;CI % Recuperació;N1 Nom diana;N1 Limit of detection (LDt);N1 Limit of detection (LDe);N1 Limit of detection (LQe);N1 Ct (1)/rep#1;N1 Ct (1)/rep#2;N1 Ct (1/10)/rep#1;N1 Ct (1/10)/rep#2;N1 Concentracio final;N1 Categoria;N1 càrrega;N1 spline;N1 tendència concentració;N1 tendència càrrega;N1 tendència spline;N2 Nom diana;N2 Limit of detection (LDt);N2 Limit of detection (LDe);N2 Limit of detection (LQe);N2 Ct (1)/rep#1;N2 Ct (1)/rep#2;N2 Ct (1/10)/rep#1;N2 Ct (1/10)/rep#2;N2 Concentracio final;N2 Categoria;N2 càrrega;N2 spline;N2 tendència concentració;N2 tendència càrrega;N2 tendència spline;IP4 Nom diana;IP4 Limit of detection (LDt);IP4 Limit of detection (LDe);IP4 Limit of detection (LQe);IP4 Ct (1)/rep#1;IP4 Ct (1)/rep#2;IP4 Ct (1/10)/rep#1;IP4 Ct (1/10)/rep#2;IP4 Concentracio final;IP4 Categoria;IP4 càrrega;IP4 spline;IP4 tendència concentració;IP4 tendència càrrega;IP4 tendència spline;E Nom diana;E Limit of detection (LDt);E Limit of detection (LDe);E Limit of detection (LQe);E Ct (1)/rep#1;E Ct (1)/rep#2;E Ct (1/10)/rep#1;E Ct (1/10)/rep#2;E Concentracio final;E Categoria;E càrrega;E spline;E tendència concentració;E tendència càrrega;E tendència spline;Adenovirus humans Nom diana;Adenovirus humans Limit of detection (LDt);Adenovirus humans Limit of detection (LDe);Adenovirus humans Limit of detection (LQe);Adenovirus humans Ct (1)/rep#1;Adenovirus humans Ct (1)/rep#2;Adenovirus humans Ct (1/10)/rep#1;Adenovirus humans Ct (1/10)/rep#2;Adenovirus humans Concentracio final;Adenovirus humans Categoria;Adenovirus humans càrrega;Adenovirus humans spline;Adenovirus humans tendència concentració;Adenovirus humans tendència càrrega;Adenovirus humans tendència spline;Slope;Trend;LowCI;HighCI;PDC;x;y;LLoc presa de mostra;Retorns al punt de mostreig;Tipus mostreig;Mostra integrada de;Tipus mostra integrada;Funcionament correcte mostrejador;Nº ampolles submostra;Freqüència de succió del mostrejador;Inici mostreig;Final mostreig;Cabal influent últimes 24h;Cabal influent últimes 24h calculat;Cabal màxim registrat;Cabal mínim registrat;Aigua residual de font industrial;Temperatura aigua residual entrada;Precipitació registrada últimes 24h;Conductivitat;SST;SSV;NO2;NO3;PO4;NH4;TKN;TP;pH;DQO;DQO filtrada;DBO5;E. coli;Observacions;Mostra enviada;CI Control interno;MS2  Nom diana;MS2  Limit of detection (LDt);MS2  Limit of detection (LDe);MS2  Limit of detection (LQe);MS2  Ct (1)/rep#1;MS2  Ct (1)/rep#2;MS2  Ct (1/10)/rep#1;MS2  Ct (1/10)/rep#2;MS2  Concentracio final;MS2  Categoria; Nom diana; Limit of detection (LDt); Limit of detection (LDe); Limit of detection (LQe); Ct (1)/rep#1; Ct (1)/rep#2; Ct (1/10)/rep#1; Ct (1/10)/rep#2; Concentracio final; Categoria;N1r Nom diana;N1r Limit of detection (LDt);N1r Limit of detection (LDe);N1r Limit of detection (LQe);N1r Ct (1)/rep#1;N1r Ct (1)/rep#2;N1r Ct (1/10)/rep#1;N1r Ct (1/10)/rep#2;N1r Concentracio final;N1r Categoria;N2r Nom diana;N2r Limit of detection (LDt);N2r Limit of detection (LDe);N2r Limit of detection (LQe);N2r Ct (1)/rep#1;N2r Ct (1)/rep#2;N2r Ct (1/10)/rep#1;N2r Ct (1/10)/rep#2;N2r Concentracio final;N2r Categoria
Lleida;DTRG;2020-11-02;11.14;78;156;173;12;16;16;10;11;6;7;16;14;17;7;4;13;11;13;17098;DTRG-2020-11-02;EURECAT;CENTRICON;2020-11-03;MS2;18100000000.00;1000.00;2020-11-04;70.00;1000.00;0.34;205.88;340.00;60.00;5.00;5.83;;MS2;171.43;171.43;0.00;100.00;100.00;22.07;22.27;461035641.22;6.43;0.1783;N1;171.43;171.43;0.00;33.76;34.49;34.32;33.87;154254.23;2.95;455204226132.87;286221646780.11;2,125;2,041438689;0,176067418;N2;171.43;171.43;0.00;35.45;36.18;35.17;34.66;129503.39;2.88;382164516621.26;232517496534.66;1,987;1,903392396;0,303229267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,008060714;PLATEAU;-0,531994334;0,515872906;-1,838929556;"0; 14; 28";"5.1882; 3.0632; 4.9625";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;1 h;2020-11-02;2020-11-02;2951.00;2951;170.00;90.00;0.00;21.00;0.00;0.00;212.00;212.00;0.03;1.50;12.00;44.00;58.00;5.80;7.40;550.00;190.00;440.00;7700000.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tarragona;DTOT;2020-11-02;24.29;170;468;299;43;18;29;24;24;16;16;24;21;17;29;12;8;4;14;41345;DTOT-2020-11-02;EURECAT;CENTRICON;2020-11-03;MS2;18100000000.00;1000.00;2020-11-04;70.00;1000.00;0.26;269.23;260.00;60.00;5.00;5.83;;MS2;171.43;171.43;0.00;100.00;100.00;20.97;20.47;1293581302.21;6.88;0.5003;N1;171.43;171.43;0.00;32.75;32.97;33.74;34.19;168235.73;2.99;991413153158.19;420003259037.68;1,1687;1,156806848;-0,060371447;N2;171.43;171.43;0.00;34.13;33.54;33.54;33.51;307275.06;3.25;1810771907691.17;831210107406.11;3,2534;3,241522969;-0,079731806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,007342857;PLATEAU;-0,589199114;0,5745134;-1,676542287;"0; 7; 14";"5.2259; 4.0572; 5.1231";Després de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2020-11-02;2020-11-03;5893.00;5893;403.00;86.00;0.00;22.70;0.00;0.00;240.00;0.00;0.22;0.68;8.24;47.70;100.00;10.10;7.72;567.00;0.00;340.00;0.00;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tarragona;DTAR;2020-11-02;90.00;630;1343;1308;98;124;100;97;103;49;59;120;116;89;95;89;44;25;100;145832;DTAR-2020-11-02;EURECAT;CENTRICON;2020-11-03;MS2;18100000000.00;1000.00;2020-11-04;70.00;1000.00;0.27;259.26;270.00;60.00;5.00;5.83;;MS2;171.43;171.43;0.00;100.00;100.00;22.28;22.22;434858537.58;6.40;0.1682;N1;171.43;171.43;0.00;34.05;34.31;34.70;35.00;92617.00;2.73;2575771445584.33;1576641846548.12;0,012;0,092419355;0,01052396;N2;171.43;171.43;0.00;35.26;37.35;36.17;35.68;68413.26;2.60;1902641172767.12;1616820075064.41;-0,0838;-0,003386741;-0,044921804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,050342857;PLATEAU;-0,227612946;0,126927231;-10,94523892;"0; 7; 14";"4.9667; 4.9547; 4.2619";Abans de dessorrador/desgreixador;FALSE;Manual;12h;Composta en relació al cabal (diferent volum per ampolla);1;24;;2020-11-02;2020-11-02;27811.00;27811;1653.00;562.00;0.00;0.00;0.00;;408.00;348.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;796.00;414.00;480.00;0.00;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DSRS;2020-11-02;147.29;1031;2150;2026;199;170;171;171;155;107;58;190;184;133;121;127;58;43;139;266876;DSRS-2020-11-02;Virus Entèrics-UB;Al(Oh)3;2020-11-03;TGEV;138000000.00;10.00;2020-11-04;200.00;10.00;2.50;80.00;300.00;100.00;5.00;1.20;;TGEV;833.33;833.33;0.00;19.65;19.48;22.51;23.21;982461.97;3.07;14.2386;N1;833.33;833.33;41666.67;29.18;29.09;32.18;32.22;12626779.04;4.18;253899273030342.41;115294089908999.50;0,6228;0,567164958;0,036245268;;;;;;;;;;;;;;;;IP4;833.33;833.33;8333.33;33.65;31.97;41.86;32.60;1416194.97;3.23;28476848528627.79;14093880675412.75;0,5512;0,495672006;0,087170435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,070378571;DECREASE;-0,138156779;-0,002600363;-14,96035695;"0; 7; 14";"7.1013; 6.4785; 6.1160";Abans de dessorrador/desgreixador;FALSE;Manual;24h;;1;24;;2020-11-02;2020-11-02;20108.00;20108;0.00;0.00;0.00;0.00;0.00;;720.00;0.00;0.00;0.00;0.00;71.20;96.00;12.00;7.56;740.00;0.00;822.00;0.00;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lleida;DSOL;2020-11-02;4.43;31;66;78;3;7;9;2;7;2;1;16;6;8;6;6;1;1;3;10080;DSOL-2020-11-02;EURECAT;CENTRICON;2020-11-03;MS2;18100000000.00;1000.00;2020-11-04;70.00;1000.00;0.29;241.38;290.00;60.00;5.00;5.83;;MS2;171.43;171.43;0.00;100.00;100.00;19.93;19.59;2518607430.80;7.17;0.9740;N1;171.43;171.43;0.00;30.98;31.19;32.62;32.63;406862.76;3.38;861328467256.24;615487413174.48;0,2166;0,216629104;0,093063666;N2;171.43;171.43;0.00;100.00;100.00;32.14;33.45;529143.71;3.49;1120197243612.05;704808000824.05;0,4012;0,401198487;0,054203675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,063378571;PLATEAU;-0,181619387;0,054862244;-13,57857391;"0; 7; 14";"5.6094; 5.3928; 4.7221";Després de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2020-11-02;2020-11-03;2117.00;2117;200.00;50.00;0.00;15.20;0.00;1408.00;193.00;81.00;0.12;0.00;23.40;40.30;41.00;7.80;7.95;338.00;125.00;147.00;0.00;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DSFL;2020-11-02;183.71;1286;2668;2657;257;208;204;205;247;93;72;327;241;188;194;149;51;46;175;341207;DSFL-2020-11-02;UB_Girones;ultrafiltració;2020-11-03;MS2;0.00;1000.00;2020-11-03;80.00;800.00;0.20;400.00;140.00;60.00;5.00;4.67;;MS2;214.29;214.29;0.00;100.00;27.82;31.11;31.79;Infinity;Infinity;Infinity;N1;214.29;214.29;2070.00;35.05;34.22;36.40;36.35;17222.15;1.91;861779377020.98;1418223393746.88;-0,5076;-0,50933852;-0,185009202;N2;214.29;214.29;2022.86;33.68;32.97;33.52;36.21;18627.35;1.94;932093959855.58;1341795830039.06;-0,4068;-0,408596544;-0,147415615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Adenovirus humans;214.29;1615.71;2046.43;100.00;31.68;34.25;100.00;40904.55;2.28;2046822713969.88;;NaN;-0,177823623;NaN;NaN;ERROR;NaN;NaN;NaN;"0; 7; NaN";"4.2361; 4.7437; 4.6630";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;8;1 h;2020-11-02;2020-11-03;50039.00;50039;3.71;1.45;0.00;22.00;0.00;;383.00;0.00;0.00;0.00;0.00;63.60;0.00;6.27;7.70;916.00;0.00;342.00;0.00;La mostra es recull en una unica ampolla en el mostrejador;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tarragona;DRUS;2020-11-02;126.14;883;1806;1603;115;193;182;133;126;84;50;123;142;106;80;101;44;27;97;108581;DRUS-2020-11-02;EURECAT;CENTRICON;2020-11-03;MS2;18100000000.00;1000.00;2020-11-04;70.00;1000.00;0.23;297.87;235.00;60.00;5.00;5.83;;MS2;171.43;171.43;0.00;100.00;100.00;22.81;22.20;371822751.10;6.34;0.1438;N1;171.43;171.43;0.00;34.34;34.57;35.16;35.26;72512.34;2.63;1155339152778.06;1226426259273.38;-0,1398;-0,147512609;0,002274839;N2;171.43;171.43;0.00;37.87;36.73;34.79;35.19;122909.53;2.86;1958317526107.01;1037606062034.42;0,7771;0,76937256;-0,071376665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,009278571;PLATEAU;-0,115906217;0,097349074;-2,113809172;"0; 7; 14";"4.8604; 5.0002; 4.7305";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;Composta en relació al cabal (diferent volum per ampolla);1;8;1 h;2020-11-02;2020-11-03;15933.00;15933;17540.00;1100.00;250.00;22.10;0.00;;2000.00;777.00;5.50;2.00;5.60;61.60;66.50;10.80;7.80;1027.00;207.00;359.00;12000000.00;"L'aparell de presa de mostres té 4 botelles de 10 litres i la presa de mostra és realitza de manera proporcional al cabal d'entrada a l'estar connectat al cabalímetre d'entrada de l'EDAR, la mostra integrada (24h) s'obté de barrejar directament les quatre submostres que es prenen amb intervals de sis hores.
";TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DRUB;2020-11-02;111.86;783;1465;1417;132;135;101;89;169;96;61;90;106;84;122;88;52;26;66;168470;DRUB-2020-11-02;Virus Entèrics-UB;Al(Oh)3;2020-11-03;TGEV;138000000.00;10.00;2020-11-04;200.00;10.00;2.50;80.00;300.00;100.00;5.00;1.20;;TGEV;833.33;833.33;0.00;18.45;18.78;23.07;23.57;1208050.25;3.16;17.5080;N1;833.33;833.33;41666.67;29.84;29.64;32.85;43.28;5991449.85;3.86;127797625211412.52;79018202111254.75;0,4075;0,354721742;-0,033098495;;;;;;;;;;;;;;;;IP4;833.33;833.33;8333.33;31.75;33.37;32.92;31.08;4828587.83;3.76;102993778430177.34;41975452262211.50;1,1581;1,105333753;0,072226752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,010042857;PLATEAU;-0,185646482;0,165560768;-2,285921022;"0; 7; 14";"6.7775; 6.3700; 6.6369";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2020-11-02;2020-11-03;21330.00;21330;1282.00;358.00;35.00;22.50;0.00;;427.00;0.00;0.04;1.00;0.00;33.00;67.00;9.00;7.59;897.00;0.00;290.00;0.00;Assecador aturat, mostra integrada abans del pou d'entrada ;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Girona;DRIP;2020-11-02;7.29;51;99;87;11;5;5;12;8;8;2;5;6;0;5;9;3;4;4;13909;DRIP-2020-11-02;UB_Girones;ultrafiltració;2020-11-03;MS2;0.00;1000.00;2020-11-03;80.00;800.00;0.16;500.00;140.00;60.00;5.00;5.83;;MS2;171.43;171.43;0.00;100.00;25.74;30.13;30.15;Infinity;Infinity;Infinity;N1;171.43;171.43;1656.00;33.84;33.95;37.95;37.91;9088.24;1.72;56174412977.58;91151823230.33;-0,5921;-0,627760685;-0,209829461;N2;171.43;171.43;1618.29;32.58;33.71;34.57;100.00;4971.02;1.46;30725866903.22;57825038021.44;-0,8431;-0,87862413;-0,294264287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Adenovirus humans;171.43;1292.57;1637.14;100.00;33.00;36.22;36.34;15516.17;1.96;95905471275.30;;NaN;-0,26284283;NaN;0,036007143;PLATEAU;-0,141080676;0,213094962;8,644349225;"0; 7; 14";"3.9585; 4.5506; 4.4626";Després de dessorrador/desgreixador;FALSE;Automàtic;24h;Composta per hores (igual volum per ampolla);1;24;20 min;2020-11-02;2020-11-03;6181.00;6181;333.00;220.00;0.00;13.00;0.00;;160.00;0.00;0.03;0.50;0.00;12.00;22.00;4.00;7.60;239.00;0.00;80.00;0.00;s'han col.locat refrigenrants dins el mostrajador mentre s'han recollit les mostres. S'ha muntat la mostra composta segons l'annex protocol de mostreig.;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Girona;DPUI;2020-11-02;6.29;44;81;107;9;13;2;9;10;1;0;7;10;8;11;15;1;1;10;10675;DPUI-2020-11-02;Virus Entèrics-UB;Al(Oh)3;2020-11-03;TGEV;138000000.00;10.00;2020-11-04;200.00;10.00;2.00;100.00;300.00;100.00;5.00;1.50;;TGEV;666.67;666.67;0.00;21.52;19.69;22.08;100.00;561665.60;2.93;8.1401;N1;666.67;666.67;33333.33;30.83;31.04;34.38;35.57;2278079.49;3.53;10711529768103.68;9746739308619.82;-0,056;-0,163705922;-0,009125702;;;;;;;;;;;;;;;;IP4;666.67;666.67;6666.67;33.77;41.86;34.87;34.19;686280.15;3.01;3226889273378.71;4638958948641.00;0,2417;0,134059732;0,151827537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,075321429;PLATEAU;-0,379060498;0,228417641;-15,92273585;"0; 7; 14";"6.3576; 6.4136; 5.3031";Després de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2020-11-02;;4702.00;4702;247.00;127.00;0.00;12.30;0.00;;160.00;0.00;0.16;0.40;0.00;19.60;91.60;4.95;7.20;321.00;79.00;150.00;0.00;Durant la presa de mostres es posen sacs de gel en el centre del mostrejador. El Nitrògen és TOTAL.;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lleida;DPSU;2020-11-02;0.14;1;7;7;0;1;0;0;0;0;0;0;0;0;0;4;0;0;2;2220;DPSU-2020-11-02;EURECAT;CENTRICON;2020-11-03;MS2;18100000000.00;1000.00;2020-11-04;70.00;1000.00;0.21;333.33;210.00;60.00;5.00;5.83;;MS2;171.43;171.43;0.00;100.00;100.00;21.86;21.55;641397959.02;6.57;0.2481;N1;171.43;171.43;0.00;38.25;100.00;100.00;100.00;562.12;0.52;544136178.72;13299709680.88;-1,7125;-1,682781924;-0,034765691;N2;171.43;171.43;0.00;39.20;100.00;40.28;39.14;6614.23;1.59;6402574331.55;29525488747.12;-1,0626;-1,032955091;-0,159081713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,018417857;PLATEAU;-0,531467386;0,494631671;-4,152201343;"0; 14; 28";"2.7498; 4.4623; 2.2341";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;1 h;2020-11-02;2020-11-03;968.00;968;83.00;0.00;0.00;15.00;0.00;;0.00;0.00;0.01;0.10;3.89;32.50;38.40;0.00;7.03;122.00;0.00;70.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DPDL;2020-11-02;1011.71;7082;14711;13864;1581;1341;1243;1126;1255;300;236;1486;1151;967;1000;834;219;120;1005;1593237;DPDL-2020-11-02;Virus Entèrics-UB;Al(Oh)3;2020-11-03;TGEV;138000000.00;10.00;2020-11-04;200.00;10.00;2.50;80.00;300.00;100.00;5.00;1.20;;TGEV;833.33;833.33;0.00;19.47;21.55;24.86;24.37;468715.53;2.75;6.7930;N1;833.33;833.33;41666.67;29.80;29.77;33.21;33.15;7251177.34;3.94;1429584115474750.50;769415717932284.00;0,4347;0,349592467;0,008466754;;;;;;;;;;;;;;;;IP4;833.33;833.33;8333.33;34.00;34.80;34.47;35.34;687315.27;2.92;135505580083971.64;74025630888592.00;0,6021;0,516906783;0,071225629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,0462;PLATEAU;-0,104161695;0,011761695;-10,0916557;"0; 7; 14";"6.8604; 6.4257; 6.2136";Abans de dessorrador/desgreixador;TRUE;Automàtic;24h;;1;24;20 min;2020-11-02;2020-11-03;197152.00;197152;9387.00;7076.00;0.00;0.00;0.00;;345.00;0.00;0.00;0.00;0.00;0.00;0.00;9.70;7.60;582.00;0.00;0.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Girona;DPAM;2020-11-02;49.00;343;615;608;70;56;48;40;82;47;0;39;67;23;51;36;11;0;38;58479;DPAM-2020-11-02;UB_Girones;ultrafiltració;2020-11-03;MS2;0.00;1000.00;2020-11-03;80.00;800.00;0.26;307.69;140.00;60.00;5.00;3.59;;MS2;278.57;278.57;0.00;100.00;27.50;31.69;32.01;Infinity;Infinity;Infinity;N1;278.57;278.57;2691.00;32.48;33.04;34.84;35.10;62351.32;2.35;809070753553.76;853289168447.71;-0,2285;-0,26821829;-0,131357891;N2;278.57;278.57;2629.71;32.22;33.14;33.35;32.48;65158.65;2.37;845498665886.75;1457349915770.84;-0,5467;-0,586516012;-0,161088695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Adenovirus humans;278.57;2100.43;2660.36;100.00;34.22;34.49;100.00;57799.74;2.32;750009402712.90;;NaN;-0,323785956;NaN;0,01475;PLATEAU;-0,050476435;0,079976435;3,454646242;"0; 7; 14";"4.7948; 5.0233; 5.0013";Abans de dessorrador/desgreixador;TRUE;Manual;24h;;1;24;;2020-11-02;2020-11-03;12976.00;12976;0.00;0.00;0.00;0.00;0.00;;274.00;0.00;0.00;0.00;0.00;42.00;83.00;7.80;7.50;0.00;0.00;285.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Girona;DOLO;2020-11-02;39.86;279;550;512;53;59;38;56;50;15;8;79;33;30;22;22;2;3;42;44659;DOLO-2020-11-02;UB_Girones;ultrafiltració;2020-11-03;MS2;0.00;1000.00;2020-11-03;80.00;800.00;0.21;380.95;140.00;60.00;5.00;4.44;;MS2;225.00;225.00;0.00;100.00;26.33;31.87;31.95;Infinity;Infinity;Infinity;N1;225.00;225.00;2173.50;33.34;33.64;35.59;36.27;28140.84;2.10;422365935199.66;424696536926.21;-0,3338;-0,350368737;-0,093897764;N2;225.00;225.00;2124.00;31.92;31.62;36.13;34.77;10554.60;1.67;158413979482.62;325837688935.21;-0,7538;-0,770404809;-0,115510864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Adenovirus humans;225.00;1696.50;2148.75;100.00;33.01;35.24;35.24;56194.70;2.40;843426180106.55;;NaN;-0,238454522;NaN;-0,008678571;PLATEAU;-0,214148352;0,19679121;-1,978480942;"0; 7; 14";"4.4493; 4.7831; 4.3278";Abans de dessorrador/desgreixador;TRUE;Automàtic;24h;;1;24;20 min;2020-11-02;2020-11-03;15009.00;15009;1200.00;700.00;0.00;16.00;0.00;;332.00;272.00;0.01;0.54;22.48;30.45;47.51;7.33;7.51;454.00;93.00;240.00;63000.00;"Mostra proporcional al volum en dos trams: cabal diürn/cabal nocturn.
No es disposa d'informació sobreel %d'aigua de font industrial.";TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DMRT;2020-11-02;25.00;175;405;414;27;28;33;32;38;10;7;66;35;30;39;27;4;4;34;28189;DMRT-2020-11-02;Virus Entèrics-UB;Al(Oh)3;2020-11-03;TGEV;138000000.00;10.00;2020-11-04;200.00;10.00;2.70;74.07;300.00;100.00;5.00;1.11;;TGEV;900.00;900.00;0.00;20.43;19.22;24.96;23.69;673702.29;2.87;9.7638;N1;900.00;900.00;45000.00;29.88;29.54;33.23;33.06;8157364.28;3.96;60894724347184.79;40268926290840.38;0,09;0,082912731;-0,056165568;;;;;;;;;;;;;;;;IP4;900.00;900.00;9000.00;30.92;33.54;34.45;33.33;981432.71;3.04;7326395177629.48;4588903129048.00;0,6732;0,666106714;-0,079585202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,015535714;DECREASE;-0,025300151;-0,005771278;-3,514003689;"0; 7; 14";"6.9115; 6.8215; 6.6940";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2020-11-02;2020-11-03;7465.00;7465;414.00;173.00;0.00;21.00;0.00;;450.00;0.00;0.00;0.00;0.00;45.70;55.90;9.80;7.40;895.00;0.00;456.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lleida;DMOF;;5.71;40;129;114;10;3;12;5;8;1;1;13;15;9;10;10;2;0;15;15185;DMOF-2020-11-02;EURECAT;CENTRICON;2020-11-03;MS2;18100000000.00;1000.00;2020-11-04;70.00;1000.00;0.19;368.42;190.00;60.00;5.00;5.83;;MS2;171.43;171.43;0.00;100.00;100.00;23.22;22.04;361901489.29;6.32;0.1400;N1;171.43;171.43;0.00;33.50;33.18;33.52;33.23;247790.55;3.16;787911998737.07;NaN;-0,6334;NaN;NaN;N2;171.43;171.43;0.00;34.06;34.08;33.69;34.12;243994.88;3.15;775842731400.70;NaN;-1,0295;NaN;NaN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;3179,75;NaN;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tarragona;DMOB;2020-11-02;3.00;21;47;31;4;5;6;1;1;2;2;1;2;3;0;0;1;1;2;7364;DMOB-2020-11-02;EURECAT;CENTRICON;2020-11-03;MS2;18100000000.00;1000.00;2020-11-04;70.00;1000.00;0.26;269.23;260.00;60.00;5.00;5.83;No vam tenir suficient mostra com per analitzar les Cts de la mostra sense diluir (N1 i N2). Els valors fiables són els de les dilucions 1/10.;MS2;171.43;171.43;0.00;100.00;100.00;21.62;21.38;739016787.63;6.63;0.2858;N1;171.43;171.43;0.00;100.00;100.00;35.36;35.47;63247.36;2.57;60021745143.99;38211201722.34;0,5175;0,533820859;-0,008600798;N2;171.43;171.43;0.00;100.00;100.00;41.21;37.62;12807.76;1.87;12154562499.38;40216817757.74;-1,0008;-0,984552717;-0,262220178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,002235714;PLATEAU;-0,128834887;0,124363459;-0,513469454;"0; 14; 28";"4.8010; 4.2835; 4.7384";Abans de dessorrador/desgreixador;TRUE;Automàtic;24h;;1;24;20 min;2020-11-02;2020-11-03;949.00;949;123.35;15.44;10.00;18.00;0.00;;510.00;500.00;0.29;1.04;0.00;67.80;91.10;18.60;7.45;1154.00;0.00;0.00;0.00;El tomamostres tot i no ser refrigerat, es posa dins un recipient envoltat de gel, durant les hores que dura el mostreig.;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
